species,burned,depth,01,02,03,04,05,06,07,08,09,10,11,12,13,14,Total
alde,Burned,Bottom 4,2,0,0,0,0,3,0,0,0,0,0,0,0,0,5
alde,Burned,Top 2,7,0,0,0,0,1,0,0,0,0,0,1,0,0,9
alde,Unburned,Bottom 4,0,0,0,0,0,0,0,8,0,0,1,1,0,0,10
alde,Unburned,Top 2,0,0,0,0,0,0,0,59,1,0,0,5,0,0,65
allium sp,Burned,Bottom 4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
amin,Unburned,Bottom 4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
artrw8,Burned,Bottom 4,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1
artrw8,Burned,Top 2,1,0,2,0,0,0,1,1,0,0,0,0,9,5,5
artrw8,Unburned,Bottom 4,0,0,0,0,0,0,0,3,0,0,2,0,6,1,5
artrw8,Unburned,Top 2,1,0,0,0,0,0,1,2,0,0,0,1,7,0,5
astragalusy_thing,Unburned,Top 2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Bristly marge,Unburned,Top 2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
brte,Burned,Bottom 4,10,5,1,4,5,0,1,0,3,0,0,0,6,8,29
brte,Burned,Top 2,48,19,4,29,1,0,1,0,15,5,3,9,11,34,134
brte,Unburned,Bottom 4,73,32,25,49,68,2,6,6,4,6,0,30,19,59,301
brte,Unburned,Top 2,162,87,70,437,453,5,15,40,16,35,8,225,129,176,1553
cete,Burned,Bottom 4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,5
cete,Burned,Top 2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
cete,Unburned,Bottom 4,23,0,0,0,0,0,1,12,0,0,0,0,0,0,36
cete,Unburned,Top 2,24,0,0,0,0,0,2,28,30,0,1,2,3,0,87
copa,Burned,Bottom 4,0,0,0,0,0,1,1,4,0,5,0,0,0,0,11
copa,Burned,Top 2,0,0,0,0,0,0,2,0,0,3,0,0,0,0,5
copa,Unburned,Bottom 4,0,0,0,0,0,3,0,4,0,1,2,0,0,0,10
copa,Unburned,Top 2,0,0,0,0,0,6,10,0,0,3,0,0,1,0,19
decussant_aster,Burned,Top 2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
decussant_aster,Unburned,Bottom 4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
dral,Burned,Top 2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
elel,Unburned,Top 2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
forb,Unburned,Top 2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
garo,Unburned,Bottom 4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hapa,Unburned,Bottom 4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5
hapa,Unburned,Top 2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
lepe,Burned,Bottom 4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
lepe,Burned,Top 2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
lepe,Unburned,Top 2,0,0,0,0,0,0,0,7,0,0,0,0,1,0,7
linear_glandular,Unburned,Bottom 4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
migr,Burned,Bottom 4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
misu,Burned,Bottom 4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
misu,Burned,Top 2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
not_a_mint,Burned,Top 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
plantago,Burned,Bottom 4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
plantago,Unburned,Bottom 4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
plantago,Unburned,Top 2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
pose,Burned,Bottom 4,3,0,0,0,0,0,4,1,4,4,2,6,18,35,24
pose,Burned,Top 2,11,0,0,2,1,3,21,0,37,32,5,28,8,63,140
pose,Unburned,Bottom 4,13,0,0,18,2,10,55,24,19,49,29,19,29,51,238
pose,Unburned,Top 2,17,3,1,71,6,65,502,212,175,546,143,116,141,66,1857
sial,Burned,Bottom 4,0,0,1,0,0,0,0,0,0,0,0,1,0,11,2
sial,Burned,Top 2,0,1,14,1,0,0,0,0,0,0,0,0,0,15,16
sial,Unburned,Bottom 4,0,6,13,0,0,0,0,0,0,0,0,1,0,0,20
sial,Unburned,Top 2,0,20,23,0,0,0,0,1,0,1,0,0,0,1,45
silvery_thin,Unburned,Bottom 4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
spiny_edge_guy,Unburned,Top 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
uk13,Unburned,Top 2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
uk9,Burned,Bottom 4,0,0,0,3,7,0,0,0,1,0,0,0,0,0,11
uk9,Burned,Top 2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
uk9,Unburned,Bottom 4,0,0,1,12,8,0,2,0,0,1,0,0,0,0,24
uk9,Unburned,Top 2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
unknown forb,Burned,Top 2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2
unknown forb,Unburned,Bottom 4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
unknown forb,Unburned,Top 2,1,0,0,0,0,0,0,5,1,0,0,0,0,0,7
unknown monocot,Unburned,Top 2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
upf1,Unburned,Bottom 4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
