"Timestamp","Date","Observer","plot #","burned/unburned","Depth","Pot #","Species","Count"
"2016/12/31 3:00:40 PM CST","2016-12-31","adam(test)","06","Burned","","1","brte","4"
"2016/12/31 3:03:24 PM CST","2016-12-31","adam(test)","10","Burned","","1","artrw8","3"
"2017/01/06 2:23:59 PM CST","2017-01-06","adam","14","Unburned","Top 2","1","btre","102"
"2017/01/06 2:53:34 PM CST","2017-01-06","adam","02","Unburned","Top 2","1","brte","49"
"2017/01/06 3:35:40 PM CST","2017-01-06","adam","04","Unburned","Top 2","2","brte","102"
"2017/01/06 6:21:35 PM CST","2017-01-06","adam","04","Burned","Top 2","2","brte","12"
"2017/01/06 6:23:12 PM CST","2017-01-06","adam","10","Unburned","Top 2","2","brte","9"
"2017/01/06 6:25:00 PM CST","2017-01-06","adam","01","Unburned","Bottom 4","1","brte","45"
"2017/01/06 6:26:12 PM CST","2017-01-06","adam","13","Unburned","Bottom 4","1","brte","9"
"2017/01/06 6:27:54 PM CST","2017-01-06","adam","04","Unburned","Bottom 4","1","brte","39"
"2017/01/06 6:29:00 PM CST","2017-01-06","adam","12","Unburned","Bottom 4","2","brte","18"
"2017/01/06 6:30:02 PM CST","2017-01-06","adam","05","Unburned","Top 2","1","brte","176"
"2017/01/06 8:55:46 PM CST","2017-01-06","Hakim Mamash","04","Unburned","Top 2","1","BRTE","211"
"2017/01/06 8:57:07 PM CST","2017-01-06","Hakim Mamash","14","Unburned","Bottom 4","3","BRTE","18"
"2017/01/07 6:08:51 PM CST","2017-01-07","adam","09","Unburned","Top 2","1","brte","3"
"2017/01/07 6:09:31 PM CST","2017-01-07","adam","09","Unburned","Top 2","1","pose","1"
"2017/01/07 6:42:19 PM CST","2017-01-07","adam","03","Unburned","Top 2","1","brte","32"
"2017/01/07 6:43:25 PM CST","2017-01-07","adam","09","Unburned","Top 2","2","brte","5"
"2017/01/07 6:44:33 PM CST","2017-01-07","adam","03","Unburned","Top 2","2","brte","8"
"2017/01/07 6:45:45 PM CST","2017-01-07","adam","12","Unburned","Top 2","2","brte","50"
"2017/01/07 6:52:12 PM CST","2017-01-07","adam","01","Burned","Top 2","1","brte","26"
"2017/01/07 6:53:39 PM CST","2017-01-07","adam","01","Burned","Top 2","1","pose","4"
"2017/01/07 6:55:31 PM CST","2017-01-07","adam","07","Unburned","Top 2","1","brte","6"
"2017/01/07 6:56:50 PM CST","2017-01-07","adam","07","Unburned","Top 2","1","pose","3"
"2017/01/07 7:02:42 PM CST","2017-01-07","adam","14","Unburned","Top 2","1","brte","26"
"2017/01/07 7:03:35 PM CST","2017-01-07","adam","14","Unburned","Top 2","1","pose","2"
"2017/01/07 7:34:59 PM CST","2017-01-07","adam","12","Burned","Top 2","1","brte","3"
"2017/01/07 7:35:45 PM CST","2017-01-07","adam","10","Burned","Top 2","2","brte","2"
"2017/01/07 7:36:09 PM CST","2017-01-07","adam","10","Burned","Top 2","2","pose","3"
"2017/01/07 7:36:48 PM CST","2017-01-07","adam","10","Burned","Top 2","1","brte","1"
"2017/01/07 7:37:14 PM CST","2017-01-07","adam","10","Burned","Top 2","1","pose","6"
"2017/01/07 7:38:33 PM CST","2017-01-07","adam","12","Unburned","Top 2","1","brte","47"
"2017/01/07 7:39:39 PM CST","2017-01-07","adam","12","Unburned","Top 2","1","pose","1"
"2017/01/07 7:40:12 PM CST","2017-01-07","adam","08","Unburned","Top 2","1","brte","17"
"2017/01/07 7:41:04 PM CST","2017-01-07","adam","08","Unburned","Top 2","1","pose","12"
"2017/01/07 7:41:36 PM CST","2017-01-07","adam","02","Unburned","Top 2","1","brte","14"
"2017/01/07 7:42:14 PM CST","2017-01-07","adam","01","Unburned","Bottom 4","3","brte","6"
"2017/01/07 7:42:47 PM CST","2017-01-07","adam","12","Unburned","Bottom 4","1","brte","8"
"2017/01/07 7:43:17 PM CST","2017-01-07","adam","12","Unburned","Bottom 4","1","pose","3"
"2017/01/07 7:44:18 PM CST","2017-01-07","adam","14","Burned","Top 2","1","brte","18"
"2017/01/07 7:44:52 PM CST","2017-01-07","adam","01","Unburned","Top 2","2","brte","50"
"2017/01/07 7:45:31 PM CST","2017-01-07","adam","13","Unburned","Top 2","2","brte","51"
"2017/01/07 7:46:05 PM CST","2017-01-07","adam","13","Unburned","Top 2","1","brte","26"
"2017/01/07 7:46:40 PM CST","2017-01-07","adam","01","Unburned","Top 2","1","brte","68"
"2017/01/07 7:47:06 PM CST","2017-01-07","adam","01","Unburned","Top 2","1","pose","1"
"2017/01/07 7:47:44 PM CST","2017-01-07","adam","14","Unburned","Bottom 4","2","brte","14"
"2017/01/07 7:48:15 PM CST","2017-01-07","adam","09","Burned","Top 2","1","brte","10"
"2017/01/07 7:48:54 PM CST","2017-01-07","adam","13","Unburned","Bottom 4","2","brte","7"
"2017/01/07 7:49:27 PM CST","2017-01-07","adam","10","Unburned","Top 2","1","brte","15"
"2017/01/07 7:49:57 PM CST","2017-01-07","adam","10","Unburned","Top 2","1","pose","122"
"2017/01/07 7:50:31 PM CST","2017-01-07","adam","05","Unburned","Bottom 4","1","brte","41"
"2017/01/07 7:50:59 PM CST","2017-01-07","adam","01","Burned","Bottom 4","2","brte","3"
"2017/01/07 7:51:36 PM CST","2017-01-07","adam","05","Unburned","Bottom 4","2","brte","8"
"2017/01/07 7:52:08 PM CST","2017-01-07","adam","08","Unburned","Top 2","2","brte","9"
"2017/01/07 7:52:33 PM CST","2017-01-07","adam","08","Unburned","Top 2","2","pose","13"
"2017/01/07 7:53:29 PM CST","2017-01-07","adam","04","Unburned","Top 2","2","brte","22"
"2017/01/07 7:53:54 PM CST","2017-01-07","adam","04","Unburned","Top 2","2","pose","5"
"2017/01/07 7:54:32 PM CST","2017-01-07","adam","04","Unburned","Bottom 4","1","pose","6"
"2017/01/07 7:54:59 PM CST","2017-01-07","adam","04","Unburned","Bottom 4","1","brte","3"
"2017/01/07 7:56:22 PM CST","2017-01-07","adam","02","Burned","Top 2","1","brte","10"
"2017/01/07 7:57:28 PM CST","2017-01-07","adam","04","Burned","Top 2","2","brte","5"
"2017/01/07 7:58:02 PM CST","2017-01-07","adam","04","Burned","Top 2","1","brte","5"
"2017/01/07 7:58:48 PM CST","2017-01-07","adam","01","Unburned","Bottom 4","4","brte","1"
"2017/01/07 7:59:19 PM CST","2017-01-07","adam","02","Burned","Bottom 4","3","brte","1"
"2017/01/07 7:59:49 PM CST","2017-01-07","adam","01","Unburned","Bottom 4","2","brte","4"
"2017/01/07 8:00:15 PM CST","2017-01-07","adam","01","Unburned","Bottom 4","2","pose","1"
"2017/01/07 8:02:04 PM CST","2017-01-07","adam","05","Burned","Bottom 4","2","brte","4"
"2017/01/08 8:41:46 PM CST","2017-01-07","Hakim Mamash","12","Unburned","Top 2","3","BRTE","47"
"2017/01/08 8:42:43 PM CST","2017-01-07","Hakim Mamash","12","Unburned","Top 2","3","POSE","4"
"2017/01/08 8:44:31 PM CST","2017-01-07","Hakim Mamash","10","Unburned","Top 2","2","POSE","130"
"2017/01/08 8:45:29 PM CST","2017-01-07","Hakim Mamash","10","Unburned","Top 2","2","BRTE","1"
"2017/01/08 8:46:53 PM CST","2017-01-07","Hakim Mamash","03","Unburned","Bottom 4","2","BRTE","9"
"2017/01/08 8:48:08 PM CST","2017-01-07","Hakim Mamash","02","Unburned","Bottom 4","3","BRTE","6"
"2017/01/08 8:53:17 PM CST","2017-01-07","Hakim Mamash","02","Burned","Bottom 4","1","BRTE","1"
"2017/01/08 8:54:20 PM CST","2017-01-07","Hakim Mamash","03","Burned","Top 2","2","BRTE","3"
"2017/01/08 8:55:31 PM CST","2017-01-07","Hakim Mamash","04","Unburned","Top 2","1","BRTE","46"
"2017/01/08 8:56:44 PM CST","2017-01-07","Hakim Mamash","04","Unburned","Top 2","1","POSE","10"
"2017/01/08 8:57:41 PM CST","2017-01-07","Hakim Mamash","12","Unburned","Bottom 4","2","POSE","2"
"2017/01/08 8:59:02 PM CST","2017-01-07","Hakim Mamash","12","Unburned","Bottom 4","2","BRTE","3"
"2017/01/08 8:59:53 PM CST","2017-01-07","Hakim Mamash","03","Unburned","Bottom 4","3","BRTE","10"
"2017/01/08 9:00:50 PM CST","2017-01-07","Hakim Mamash","02","Unburned","Bottom 4","2","BRTE","4"
"2017/01/08 9:02:06 PM CST","2017-01-07","Hakim Mamash","05","Unburned","Top 2","1","BRTE","32"
"2017/01/08 9:03:21 PM CST","2017-01-07","Hakim Mamash","02","Unburned","Bottom 4","4","BRTE","6"
"2017/01/08 9:04:21 PM CST","2017-01-08","Hakim Mamash","12","Burned","Top 2","2","BRTE","2"
"2017/01/08 9:05:15 PM CST","2017-01-08","Hakim Mamash","12","Burned","Top 2","2","POSE","1"
"2017/01/08 9:06:47 PM CST","2017-01-08","Hakim Mamash","07","Unburned","Top 2","2","POSE","92"
"2017/01/08 9:07:34 PM CST","2017-01-08","Hakim Mamash","13","Burned","Top 2","1","BRTE","1"
"2017/01/08 9:08:28 PM CST","2017-01-08","Hakim Mamash","13","Burned","Top 2","1","POSE","1"
"2017/01/08 9:09:37 PM CST","2017-01-08","Hakim Mamash","12","Unburned","Top 2","2","BRTE","16"
"2017/01/08 9:10:50 PM CST","2017-01-08","Hakim Mamash","12","Unburned","Top 2","2","POSE","2"
"2017/01/08 10:14:52 PM CST","2017-01-08","adam","03","Unburned","Top 2","1","brte","1"
"2017/01/08 10:15:21 PM CST","2017-01-08","adam","03","Unburned","Top 2","1","pose","1"
"2017/01/08 10:16:21 PM CST","2017-01-08","adam","05","Unburned","Bottom 4","2","brte","1"
"2017/01/08 10:16:51 PM CST","2017-01-08","adam","07","Unburned","Bottom 4","2","brte","2"
"2017/01/08 10:17:28 PM CST","2017-01-08","adam","07","Unburned","Bottom 4","2","pose","17"
"2017/01/08 10:18:09 PM CST","2017-01-08","adam","12","Burned","Bottom 4","1","pose","1"
"2017/01/08 10:18:43 PM CST","2017-01-08","adam","13","Unburned","Top 2","2","brte","15"
"2017/01/08 10:19:37 PM CST","2017-01-08","adam","13","Unburned","Top 2","2","pose","26"
"2017/01/08 10:20:08 PM CST","2017-01-08","adam","14","Unburned","Top 2","1","brte","25"
"2017/01/08 10:20:39 PM CST","2017-01-08","adam","14","Unburned","Top 2","1","pose","13"
"2017/01/08 10:21:33 PM CST","2017-01-08","adam","14","Unburned","Bottom 4","3","brte","6"
"2017/01/08 10:21:51 PM CST","2017-01-08","adam","14","Unburned","Bottom 4","3","pose","3"
"2017/01/08 10:22:28 PM CST","2017-01-08","adam","07","Unburned","Top 2","1","pose","37"
"2017/01/08 10:23:10 PM CST","2017-01-08","adam","07","Unburned","Top 2","1","brte","5"
"2017/01/08 10:23:43 PM CST","2017-01-08","adam","08","Unburned","Bottom 4","3","pose","3"
"2017/01/08 10:24:14 PM CST","2017-01-08","adam","14","Burned","Bottom 4","1","pose","11"
"2017/01/08 10:24:54 PM CST","2017-01-08","adam","14","Burned","Bottom 4","1","brte","8"
"2017/01/08 10:25:25 PM CST","2017-01-08","adam","14","Burned","Top 2","1","pose","16"
"2017/01/08 10:25:50 PM CST","2017-01-08","adam","14","Burned","Top 2","1","brte","9"
"2017/01/08 10:26:18 PM CST","2017-01-08","adam","05","Unburned","Top 2","1","brte","36"
"2017/01/08 10:26:57 PM CST","2017-01-08","adam","05","Unburned","Top 2","1","pose","1"
"2017/01/08 10:28:09 PM CST","2017-01-08","adam","04","Burned","Bottom 4","1","brte","2"
"2017/01/08 10:28:37 PM CST","2017-01-08","adam","13","Burned","Bottom 4","2","brte","3"
"2017/01/08 10:29:03 PM CST","2017-01-08","adam","13","Burned","Bottom 4","2","pose","3"
"2017/01/08 10:29:38 PM CST","2017-01-08","adam","09","Burned","Bottom 4","2","pose","2"
"2017/01/08 10:30:07 PM CST","2017-01-08","adam","09","Burned","Bottom 4","1","brte","2"
"2017/01/08 10:30:42 PM CST","2017-01-08","adam","04","Burned","Bottom 4","2","brte","1"
"2017/01/08 10:32:18 PM CST","2017-01-08","adam","01","Burned","Bottom 4","3","brte","2"
"2017/01/08 10:33:53 PM CST","2017-01-08","adam","10","Burned","Top 2","2","brte","1"
"2017/01/08 10:34:20 PM CST","2017-01-08","adam","10","Burned","Top 2","2","pose","3"
"2017/01/08 10:34:55 PM CST","2017-01-08","adam","03","Unburned","Bottom 4","1","brte","1"
"2017/01/08 10:35:25 PM CST","2017-01-08","adam","01","Burned","Top 2","1","brte","5"
"2017/01/08 10:36:11 PM CST","2017-01-08","adam","03","Burned","Bottom 4","1","brte","1"
"2017/01/08 10:36:39 PM CST","2017-01-08","adam","06","Burned","Top 2","1","pose","1"
"2017/01/08 10:37:18 PM CST","2017-01-08","adam","09","Unburned","Bottom 4","1","brte","3"
"2017/01/08 10:37:47 PM CST","2017-01-08","adam","09","Unburned","Bottom 4","1","pose","4"
"2017/01/08 10:39:13 PM CST","2017-01-08","adam","03","Unburned","Bottom 4","2","brte","1"
"2017/01/08 10:39:44 PM CST","2017-01-08","adam","06","Unburned","Top 2","1","brte","4"
"2017/01/08 10:40:15 PM CST","2017-01-08","adam","06","Unburned","Top 2","1","pose","36"
"2017/01/08 10:40:48 PM CST","2017-01-08","adam","02","Unburned","Bottom 4","2","brte","1"
"2017/01/08 10:41:16 PM CST","2017-01-08","adam","08","Unburned","Bottom 4","2","pose","2"
"2017/01/08 10:42:06 PM CST","2017-01-08","adam","13","Unburned","Top 2","1","pose","24"
"2017/01/08 10:42:33 PM CST","2017-01-08","adam","13","Unburned","Top 2","1","brte","12"
"2017/01/08 10:43:01 PM CST","2017-01-08","adam","13","Unburned","Top 2","1","unknown monocot","1"
"2017/01/08 10:43:42 PM CST","2017-01-08","adam","14","Burned","Bottom 4","1","pose","8"
"2017/01/08 10:44:16 PM CST","2017-01-08","adam","14","Burned","Bottom 4","1","allium sp","1"
"2017/01/08 10:44:46 PM CST","2017-01-08","adam","11","Unburned","Top 2","1","brte","6"
"2017/01/08 10:45:13 PM CST","2017-01-08","adam","11","Unburned","Top 2","1","pose","23"
"2017/01/08 10:45:44 PM CST","2017-01-08","adam","08","Unburned","Bottom 4","4","brte","1"
"2017/01/08 10:46:37 PM CST","2017-01-08","adam","09","Burned","Top 2","1","pose","16"
"2017/01/08 10:47:03 PM CST","2017-01-08","adam","09","Burned","Top 2","1","brte","1"
"2017/01/08 10:47:31 PM CST","2017-01-08","adam","09","Unburned","Top 2","2","pose","10"
"2017/01/08 11:05:14 PM CST","2017-01-08","adam","07","Unburned","Bottom 4","1","brte","3"
"2017/01/08 11:05:45 PM CST","2017-01-08","adam","07","Unburned","Bottom 4","1","pose","18"
"2017/01/08 11:06:16 PM CST","2017-01-08","adam","10","Unburned","Bottom 4","1","brte","5"
"2017/01/08 11:07:03 PM CST","2017-01-08","adam","10","Unburned","Bottom 4","1","pose","30"
"2017/01/08 11:07:44 PM CST","2017-01-08","adam","02","Unburned","Bottom 4","1","brte","8"
"2017/01/08 11:08:13 PM CST","2017-01-08","adam","11","Unburned","Top 2","2","pose","31"
"2017/01/08 11:08:44 PM CST","2017-01-08","adam","11","Unburned","Top 2","2","brte","2"
"2017/01/08 11:09:19 PM CST","2017-01-08","adam","04","Unburned","Bottom 4","2","brte","2"
"2017/01/08 11:12:19 PM CST","2017-01-08","adam","04","Unburned","Bottom 4","2","pose","2"
"2017/01/08 11:12:54 PM CST","2017-01-08","adam","06","Unburned","Bottom 4","3","pose","3"
"2017/01/08 11:13:37 PM CST","2017-01-08","adam","06","Unburned","Bottom 4","1","pose","2"
"2017/01/08 11:14:15 PM CST","2017-01-08","adam","14","Unburned","Bottom 4","1","brte","1"
"2017/01/08 11:14:43 PM CST","2017-01-08","adam","14","Unburned","Bottom 4","1","pose","1"
"2017/01/08 11:15:19 PM CST","2017-01-08","adam","10","Unburned","Bottom 4","2","brte","1"
"2017/01/08 11:16:02 PM CST","2017-01-08","adam","10","Unburned","Bottom 4","2","pose","3"
"2017/01/08 11:16:34 PM CST","2017-01-08","adam","08","Unburned","Bottom 4","1","brte","5"
"2017/01/08 11:17:04 PM CST","2017-01-08","adam","08","Unburned","Bottom 4","1","pose","3"
"2017/01/08 11:17:37 PM CST","2017-01-08","adam","04","Unburned","Bottom 4","3","brte","1"
"2017/01/08 11:18:18 PM CST","2017-01-08","adam","04","Unburned","Bottom 4","3","pose","1"
"2017/01/08 11:18:57 PM CST","2017-01-08","adam","13","Burned","Top 2","2","brte","6"
"2017/01/08 11:19:30 PM CST","2017-01-08","adam","13","Burned","Top 2","2","pose","1"
"2017/01/08 11:20:24 PM CST","2017-01-08","adam","11","Unburned","Bottom 4","2","pose","19"
"2017/01/08 11:20:59 PM CST","2017-01-08","adam","05","Burned","Top 2","1","brte","1"
"2017/01/08 11:21:35 PM CST","2017-01-08","adam","11","Burned","Bottom 4","1","pose","1"
"2017/01/08 11:22:28 PM CST","2017-01-08","adam","09","Unburned","Bottom 4","2","brte","1"
"2017/01/08 11:23:06 PM CST","2017-01-08","adam","05","Unburned","Top 2","2","brte","70"
"2017/01/08 11:23:43 PM CST","2017-01-08","adam","14","Unburned","Bottom 4","4","brte","5"
"2017/01/08 11:24:11 PM CST","2017-01-08","adam","14","Unburned","Bottom 4","4","pose","1"
"2017/01/08 11:36:17 PM CST","2017-01-07","Hakim Mamash","11","Burned","Top 2","2","BRTE","2"
"2017/01/09 5:04:43 PM CST","2017-01-09","adam","02","Unburned","Top 2","1","brte","9"
"2017/01/09 5:05:13 PM CST","2017-01-09","adam","02","Unburned","Top 2","1","pose","3"
"2017/01/09 5:05:41 PM CST","2017-01-09","adam","09","Burned","Top 2","1","pose","1"
"2017/01/09 5:06:15 PM CST","2017-01-09","adam","06","Unburned","Top 2","1","pose","12"
"2017/01/09 5:06:48 PM CST","2017-01-09","adam","01","Unburned","Bottom 4","1","brte","5"
"2017/01/09 5:07:17 PM CST","2017-01-09","adam","01","Unburned","Bottom 4","1","pose","4"
"2017/01/09 5:07:46 PM CST","2017-01-09","adam","02","Unburned","Bottom 4","4","brte","1"
"2017/01/09 5:08:14 PM CST","2017-01-09","adam","05","Unburned","Bottom 4","1","brte","10"
"2017/01/09 5:08:43 PM CST","2017-01-09","adam","05","Unburned","Bottom 4","1","pose","2"
"2017/01/09 5:09:21 PM CST","2017-01-09","adam","08","Unburned","Top 2","1","pose","27"
"2017/01/09 5:09:49 PM CST","2017-01-09","adam","08","Unburned","Top 2","1","brte","2"
"2017/01/09 5:10:14 PM CST","2017-01-09","adam","13","Unburned","Bottom 4","1","brte","1"
"2017/01/09 5:10:49 PM CST","2017-01-09","adam","13","Unburned","Bottom 4","1","pose","4"
"2017/01/09 5:11:21 PM CST","2017-01-09","adam","11","Unburned","Top 2","1","pose","38"
"2017/01/09 5:11:54 PM CST","2017-01-09","adam","14","Unburned","Bottom 4","2","brte","5"
"2017/01/09 5:12:37 PM CST","2017-01-09","adam","14","Unburned","Bottom 4","2","pose","5"
"2017/01/09 5:13:07 PM CST","2017-01-09","adam","02","Burned","Top 2","1","brte","4"
"2017/01/09 5:13:37 PM CST","2017-01-09","adam","05","Unburned","Bottom 4","2","brte","3"
"2017/01/09 5:14:14 PM CST","2017-01-09","adam","04","Burned","Top 2","2","brte","4"
"2017/01/09 5:14:47 PM CST","2017-01-09","adam","04","Burned","Top 2","2","pose","1"
"2017/01/09 5:15:25 PM CST","2017-01-09","adam","12","Unburned","Top 2","1","brte","14"
"2017/01/09 5:15:50 PM CST","2017-01-09","adam","12","Unburned","Top 2","1","pose","13"
"2017/01/09 5:16:22 PM CST","2017-01-09","adam","13","Unburned","Bottom 4","2","pose","13"
"2017/01/09 5:16:55 PM CST","2017-01-09","adam","13","Unburned","Bottom 4","2","brte","1"
"2017/01/09 5:17:33 PM CST","2017-01-09","adam","12","Unburned","Bottom 4","2","pose","4"
"2017/01/09 5:25:28 PM CST","2017-01-09","adam","04","Unburned","Bottom 4","1","brte","2"
"2017/01/09 5:25:55 PM CST","2017-01-09","adam","04","Unburned","Bottom 4","1","pose","3"
"2017/01/09 5:26:28 PM CST","2017-01-09","adam","14","Burned","Top 2","1","brte","4"
"2017/01/09 5:26:55 PM CST","2017-01-09","adam","14","Burned","Top 2","1","pose","10"
"2017/01/09 5:27:29 PM CST","2017-01-09","adam","14","Unburned","Top 2","1","brte","1"
"2017/01/09 5:28:05 PM CST","2017-01-09","adam","14","Unburned","Top 2","1","brte","9"
"2017/01/09 5:28:30 PM CST","2017-01-09","adam","14","Unburned","Top 2","1","pose","11"
"2017/01/09 5:28:56 PM CST","2017-01-09","adam","08","Unburned","Top 2","2","brte","1"
"2017/01/09 5:29:28 PM CST","2017-01-09","adam","08","Unburned","Top 2","2","pose","12"
"2017/01/12 7:21:53 PM CST","2017-01-09","Hakim Mamash","04","Unburned","Top 2","2","BRTE","14"
"2017/01/12 7:23:06 PM CST","2017-01-09","Hakim Mamash","04","Unburned","Top 2","2","POSE","10"
"2017/01/12 7:24:38 PM CST","2017-01-09","Hakim Mamash","10","Unburned","Top 2","2","POSE","85"
"2017/01/12 7:25:43 PM CST","2017-01-09","Hakim Mamash","10","Unburned","Top 2","2","BRTE","1"
"2017/01/12 7:26:43 PM CST","2017-01-09","Hakim Mamash","07","Burned","Top 2","2","BRTE","1"
"2017/01/12 7:27:39 PM CST","2017-01-09","Hakim Mamash","07","Burned","Top 2","2","POSE","6"
"2017/01/12 7:28:45 PM CST","2017-01-09","Hakim Mamash","03","Unburned","Top 2","1","BRTE","4"
"2017/01/12 7:29:39 PM CST","2017-01-09","Hakim Mamash","03","Unburned","Top 2","2","BRTE","2"
"2017/01/12 7:31:07 PM CST","2017-01-09","Hakim Mamash","12","Unburned","Top 2","3","BRTE","18"
"2017/01/12 7:32:08 PM CST","2017-01-09","Hakim Mamash","12","Unburned","Top 2","3","POSE","21"
"2017/01/12 7:33:29 PM CST","2017-01-09","Hakim Mamash","01","Unburned","Top 2","1","BRTE","21"
"2017/01/12 7:34:43 PM CST","2017-01-09","Hakim Mamash","01","Unburned","Top 2","1","POSE","2"
"2017/01/12 7:35:56 PM CST","2017-01-09","Hakim Mamash","10","Burned","Top 2","1","POSE","5"
"2017/01/12 7:37:23 PM CST","2017-01-09","Hakim Mamash","01","Unburned","Top 2","2","BRTE","5"
"2017/01/12 7:38:36 PM CST","2017-01-09","Hakim Mamash","01","Unburned","Top 2","2","POSE","4"
"2017/01/12 7:40:01 PM CST","2017-01-09","Hakim Mamash","10","Unburned","Top 2","1","POSE","84"
"2017/01/12 7:41:13 PM CST","2017-01-09","Hakim Mamash","10","Unburned","Top 2","1","BRTE ","5"
"2017/01/12 7:42:31 PM CST","2017-01-09","Hakim Mamash","04","Unburned","Top 2","1","BRTE","20"
"2017/01/12 7:43:52 PM CST","2017-01-09","Hakim Mamash","04","Unburned","Top 2","1","POSE","21"
"2017/01/12 7:45:17 PM CST","2017-01-09","Hakim Mamash","01","Burned","Bottom 4","1","BRTE","2"
"2017/01/12 7:46:11 PM CST","2017-01-09","Hakim Mamash","12","Unburned","Bottom 4","1","POSE","1"
"2017/01/12 8:03:30 PM CST","2017-01-09","Hakim Mamash","01","Burned","Top 2","1","BRTE","6"
"2017/01/12 8:04:27 PM CST","2017-01-09","Hakim Mamash","05","Unburned","Top 2","2","BRTE","17"
"2017/01/12 8:05:22 PM CST","2017-01-09","Hakim Mamash","05","Unburned","Top 2","2","POSE","2"
"2017/01/12 8:06:18 PM CST","2017-01-09","Hakim Mamash","01","Unburned","Bottom 4","2","BRTE","2"
"2017/01/18 4:35:12 PM CST","2017-01-18","adam","05","Unburned","Top 2","1","brte","83"
"2017/01/18 4:35:57 PM CST","2017-01-18","adam","05","Unburned","Top 2","1","pose","3"
"2017/01/18 4:38:17 PM CST","2017-01-18","adam","03","Burned","Top 2","1","brte","1"
"2017/01/18 4:39:03 PM CST","2017-01-18","adam","01","Unburned","Top 2","2","brte","3"
"2017/01/18 4:39:32 PM CST","2017-01-18","adam","01","Unburned","Top 2","2","pose","5"
"2017/01/18 4:40:33 PM CST","2017-01-18","adam","09","Burned","Top 2","1","brte","4"
"2017/01/18 4:41:50 PM CST","2017-01-18","adam","09","Burned","Top 2","1","pose","18"
"2017/01/18 4:42:24 PM CST","2017-01-18","adam","02","Unburned","Top 2","1","brte","12"
"2017/01/18 4:43:10 PM CST","2017-01-18","adam","07","Burned","Top 2","1","pose","11"
"2017/01/18 4:44:18 PM CST","2017-01-18","adam","13","Unburned","Top 2","1","brte","7"
"2017/01/18 4:44:56 PM CST","2017-01-18","adam","13","Unburned","Top 2","1","pose","20"
"2017/01/18 4:46:25 PM CST","2017-01-18","adam","06","Burned","Top 2","2","pose","1"
"2017/01/18 4:47:00 PM CST","2017-01-18","adam","06","Burned","Top 2","2","pose","1"
"2017/01/18 4:47:35 PM CST","2017-01-18","adam","07","Burned","Bottom 4","2","pose","3"
"2017/01/18 4:49:46 PM CST","2017-01-18","adam","07","Burned","Bottom 4","2","brte","1"
"2017/01/18 4:50:22 PM CST","2017-01-18","adam","10","Unburned","Bottom 4","1","pose","8"
"2017/01/18 4:50:57 PM CST","2017-01-18","adam","13","Burned","Bottom 4","1","pose","4"
"2017/01/18 7:15:09 PM CST","2017-01-18","adam","10","Unburned","Bottom 4","2","pose","6"
"2017/01/18 7:15:43 PM CST","2017-01-18","adam","13","Burned","Top 2","1","brte","2"
